date,code,name,store_name,value
2023-01-12,74,飲料,otofuke,"355,450"
2023-01-12,74,飲料,ekimae,"256,861"
2023-01-12,9,酒類,inada,"121,669"
2023-01-12,9,酒類,otofuke,"129,098"
2023-01-12,9,酒類,ekimae,"193,364"
2023-01-12,273,ワイン,inada,"16,096"
2023-01-12,273,ワイン,otofuke,"11,412"
2023-01-12,273,ワイン,ekimae,"70,050"
2023-01-12,274,ビール類,inada,"105,292"
2023-01-12,274,ビール類,otofuke,"85,588"
2023-01-12,274,ビール類,ekimae,"142,443"
2023-01-13,1,菓　子,inada,"191,126"
2023-01-13,1,菓　子,otofuke,"167,447"
2023-01-13,1,菓　子,ekimae,"617,446"
2023-01-13,2,嗜好品,inada,"65,495"
2023-01-13,2,嗜好品,otofuke,"46,364"
2023-01-13,2,嗜好品,ekimae,"158,559"
2023-01-13,3,調味料,inada,"125,553"
2023-01-13,3,調味料,otofuke,"125,864"
2023-01-13,3,調味料,ekimae,"232,021"
2023-01-13,4,調理素材,inada,"24,207"
2023-01-13,4,調理素材,otofuke,"22,378"
2023-01-13,4,調理素材,ekimae,"53,282"
2023-01-13,5,クイックフーズ,inada,"142,903"
2023-01-13,5,クイックフーズ,otofuke,"118,204"
2023-01-13,5,クイックフーズ,ekimae,"279,046"
2023-01-13,6,グロサリーギフト,inada,"1,500"
2023-01-13,6,グロサリーギフト,ekimae,"2,925"
2023-01-13,7,銘店,inada,130
2023-01-13,7,銘店,otofuke,"15,350"
2023-01-13,7,銘店,ekimae,"179,073"
2023-01-13,8,米,inada,"49,003"
2023-01-13,8,米,otofuke,"40,082"
2023-01-13,8,米,ekimae,"57,360"
2023-01-13,55,タバコ,inada,"64,074"
2023-01-13,55,タバコ,otofuke,"25,744"
2023-01-13,55,タバコ,ekimae,"70,746"
2023-01-13,74,飲料,inada,"117,325"
2023-01-13,74,飲料,otofuke,"129,383"
2023-01-13,74,飲料,ekimae,"312,024"
2023-01-13,9,酒類,inada,"88,255"
2023-01-13,9,酒類,otofuke,"95,398"
2023-01-13,9,酒類,ekimae,"208,236"
2023-01-13,273,ワイン,inada,"12,048"
2023-01-13,273,ワイン,otofuke,"11,142"
2023-01-13,273,ワイン,ekimae,"86,004"
2023-01-13,274,ビール類,inada,"112,676"
2023-01-13,274,ビール類,otofuke,"84,005"
2023-01-13,274,ビール類,ekimae,"176,690"
2023-01-14,1,菓　子,inada,"201,030"
2023-01-14,1,菓　子,otofuke,"179,860"
2023-01-14,1,菓　子,ekimae,"596,856"
2023-01-14,2,嗜好品,inada,"62,067"
2023-01-14,2,嗜好品,otofuke,"69,039"
2023-01-14,2,嗜好品,ekimae,"165,261"
2023-01-14,3,調味料,inada,"131,091"
2023-01-14,3,調味料,otofuke,"190,063"
2023-01-14,3,調味料,ekimae,"237,915"
2023-01-14,4,調理素材,inada,"29,461"
2023-01-14,4,調理素材,otofuke,"26,848"
2023-01-14,4,調理素材,ekimae,"46,341"
2023-01-14,5,クイックフーズ,inada,"146,795"
2023-01-14,5,クイックフーズ,otofuke,"172,109"
2023-01-14,5,クイックフーズ,ekimae,"259,186"
2023-01-14,6,グロサリーギフト,ekimae,"12,000"
